,Event,Description,Team,Tricode,Period,Time,Date,Lat,Lon,Home_Away_Team
270,Shot,Brad Marchand Wrist Shot saved by Jordan Binnington,Boston Bruins,BOS,3,11:08,2019-05-28,27.0,37.0,Home
272,Faceoff,David Krejci faceoff won against Tyler Bozak,Boston Bruins,BOS,3,11:12,2019-05-28,22.0,69.0,Home
273,Shot,Jake DeBrusk Snap Shot saved by Jordan Binnington,Boston Bruins,BOS,3,11:12,2019-05-28,28.0,82.0,Home
275,Faceoff,Tyler Bozak faceoff won against David Krejci,St. Louis Blues,STL,3,12:06,2019-05-28,22.0,69.0,Away
276,Hit,Ivan Barbashev hit Matt Grzelcyk,St. Louis Blues,STL,3,12:19,2019-05-28,31.0,-90.0,Away
277,Takeaway,Takeaway by Oskar Sundqvist,St. Louis Blues,STL,3,12:31,2019-05-28,0.0,67.0,Away
278,Giveaway,Giveaway by Jaden Schwartz,St. Louis Blues,STL,3,12:41,2019-05-28,30.0,-36.0,Away
279,Takeaway,Takeaway by Zdeno Chara,Boston Bruins,BOS,3,12:49,2019-05-28,31.0,-47.0,Home
280,Hit,Vladimir Tarasenko hit David Pastrnak,St. Louis Blues,STL,3,13:00,2019-05-28,13.0,48.0,Away
281,Giveaway,Giveaway by Patrice Bergeron,Boston Bruins,BOS,3,13:02,2019-05-28,-12.0,94.0,Home
282,Hit,Sammy Blais hit Charlie McAvoy,St. Louis Blues,STL,3,13:02,2019-05-28,37.0,-46.0,Away
284,Faceoff,Charlie Coyle faceoff won against Ryan O'Reilly,Boston Bruins,BOS,3,13:16,2019-05-28,22.0,20.0,Home
285,Shot,Torey Krug Slap Shot saved by Jordan Binnington,Boston Bruins,BOS,3,13:28,2019-05-28,4.0,-7.0,Home
286,Hit,Danton Heinen hit David Perron,Boston Bruins,BOS,3,13:28,2019-05-28,36.0,37.0,Home
287,Faceoff,Patrice Bergeron faceoff won against Ryan O'Reilly,Boston Bruins,BOS,3,13:38,2019-05-28,22.0,69.0,Home
288,Penalty,Sammy Blais Interference against Charlie Coyle,St. Louis Blues,STL,3,13:39,2019-05-28,-4.0,69.0,Away
289,Hit,Robert Bortuzzo hit David Pastrnak,St. Louis Blues,STL,3,14:14,2019-05-28,35.0,70.0,Away
290,Missed Shot,Brad Marchand - Wide of Net,Boston Bruins,BOS,3,14:21,2019-05-28,-19.0,75.0,Home
291,Shot,David Pastrnak Deflected saved by Jordan Binnington,Boston Bruins,BOS,3,14:44,2019-05-28,-4.0,79.0,Home
292,Giveaway,Giveaway by Patrice Bergeron,Boston Bruins,BOS,3,15:30,2019-05-28,-21.0,94.0,Home
293,Hit,Robert Bortuzzo hit David Krejci,St. Louis Blues,STL,3,15:35,2019-05-28,16.0,96.0,Away
294,Missed Shot,Marcus Johansson - Wide of Net,Boston Bruins,BOS,3,15:49,2019-05-28,-17.0,76.0,Home
295,Hit,Colton Parayko hit Matt Grzelcyk,St. Louis Blues,STL,3,16:04,2019-05-28,37.0,69.0,Away
296,Hit,Noel Acciari hit Vladimir Tarasenko,Boston Bruins,BOS,3,16:04,2019-05-28,38.0,68.0,Home
297,Blocked Shot,Sean Kuraly,Boston Bruins,BOS,3,16:04,2019-05-28,-8.0,-61.0,Home
299,Faceoff,Brayden Schenn faceoff won against Noel Acciari,St. Louis Blues,STL,3,16:37,2019-05-28,-22.0,-69.0,Away
300,Shot,Jaden Schwartz Slap Shot saved by Tuukka Rask,St. Louis Blues,STL,3,16:47,2019-05-28,8.0,-42.0,Away
301,Hit,Jaden Schwartz hit Joakim Nordstrom,St. Louis Blues,STL,3,16:52,2019-05-28,-36.0,-79.0,Away
302,Shot,Vladimir Tarasenko Backhand saved by Tuukka Rask,St. Louis Blues,STL,3,17:45,2019-05-28,16.0,-78.0,Away
303,Shot,Alex Pietrangelo Snap Shot saved by Tuukka Rask,St. Louis Blues,STL,3,17:47,2019-05-28,-1.0,-36.0,Away
304,Missed Shot,Jay Bouwmeester - Wide of Net,St. Louis Blues,STL,3,17:47,2019-05-28,8.0,-32.0,Away
306,Faceoff,Patrice Bergeron faceoff won against Ryan O'Reilly,Boston Bruins,BOS,3,18:11,2019-05-28,-22.0,-69.0,Home
307,Goal,"Brad Marchand (8) Wrist Shot, assists: none",Boston Bruins,BOS,3,18:36,2019-05-28,35.0,42.0,Home
308,Faceoff,Sean Kuraly faceoff won against Tyler Bozak,Boston Bruins,BOS,3,18:42,2019-05-28,0.0,0.0,Home
309,Missed Shot,Alexander Steen - Over Net,St. Louis Blues,STL,3,19:06,2019-05-28,-1.0,-82.0,Away
310,Blocked Shot,Charlie McAvoy,Boston Bruins,BOS,3,19:16,2019-05-28,7.0,-71.0,Home
311,Hit,Brandon Carlo hit Vladimir Tarasenko,Boston Bruins,BOS,3,19:35,2019-05-28,-29.0,-70.0,Home
312,Blocked Shot,Patrice Bergeron,Boston Bruins,BOS,3,19:44,2019-05-28,9.0,-58.0,Home
313,Missed Shot,Brad Marchand - Wide of Net,Boston Bruins,BOS,3,19:46,2019-05-28,28.0,52.0,Home
314,Shot,Ryan O'Reilly Wrist Shot saved by Tuukka Rask,St. Louis Blues,STL,3,19:46,2019-05-28,29.0,-63.0,Away
316,Faceoff,Ryan O'Reilly faceoff won against Sean Kuraly,St. Louis Blues,STL,3,19:58,2019-05-28,22.0,-69.0,Away
317,Shot,Brayden Schenn Backhand saved by Tuukka Rask,St. Louis Blues,STL,3,19:59,2019-05-28,3.0,-81.0,Away
318,Blocked Shot,Joakim Nordstrom,Boston Bruins,BOS,3,20:00,2019-05-28,11.0,-69.0,Home
319,Shot,Brayden Schenn Deflected saved by Tuukka Rask,St. Louis Blues,STL,3,20:00,2019-05-28,2.0,-79.0,Away
